detector,rule,thr,fpr_benign_16k,tpr_ipi,tpr_lo,tpr_hi,fpr_holdout,n_benign,n_attacks,n_clusters,embed_offset,mean_windows
deepset,naive,0.998818,0.05,0.2632,0.1935,0.3404,1,40,95,28,0,1.0
deepset,window_max,0.998986,0.0,0.0947,0.0323,0.1721,1,40,95,28,0,26.0
deepset,window_max_hc,0.998986,0.0,0.1474,0.0676,0.2393,1,40,95,28,0,27.0
deepset,window_count2_hc,0.998928,0.2,0.3895,0.2955,0.4839,1,40,95,28,0,27.0
promptguard2_86m,naive,0.012532,0.0,0.9368,0.8846,0.9794,1,40,95,28,0,1.0
promptguard2_86m,window_max,0.006079,0.1,0.9263,0.8737,0.9706,1,40,95,28,0,26.0
promptguard2_86m,window_max_hc,0.006079,0.1,0.9263,0.8737,0.9706,1,40,95,28,0,27.0
promptguard2_86m,window_count2_hc,0.004117,0.2,0.9368,0.8846,0.9778,1,40,95,28,0,27.0
