detector,kind,rule,n_docs,mean_windows,rate
promptguard2_86m,position_3000,top2_mean,10,27.1,1.0
promptguard2_86m,position_3000,count>=2,10,27.1,1.0
promptguard2_86m,position_3000,count>=3,10,27.1,0.2
promptguard2_86m,position_500,max,10,27.1,1.0
promptguard2_86m,position_500,top2_mean,10,27.1,1.0
promptguard2_86m,position_500,count>=2,10,27.1,0.9
promptguard2_86m,position_500,count>=3,10,27.1,0.1
promptguard2_86m,position_5000,max,10,27.1,1.0
promptguard2_86m,position_5000,top2_mean,10,27.1,1.0
promptguard2_86m,position_5000,count>=2,10,27.1,1.0
promptguard2_86m,position_5000,count>=3,10,27.1,0.4
promptguard2_86m,position_8000,max,10,27.1,1.0
promptguard2_86m,position_8000,top2_mean,10,27.1,1.0
promptguard2_86m,position_8000,count>=2,10,27.1,1.0
promptguard2_86m,position_8000,count>=3,10,27.1,0.8
protectai_v2,carrier_1000,max,40,1.0,0.0
protectai_v2,carrier_1000,top2_mean,40,1.0,0.0
protectai_v2,carrier_1000,count>=2,40,1.0,0.0
protectai_v2,carrier_1000,count>=3,40,1.0,0.0
protectai_v2,carrier_16000,max,40,26.0,0.0
protectai_v2,carrier_16000,top2_mean,40,26.0,0.0
protectai_v2,carrier_16000,count>=2,40,26.0,0.0
protectai_v2,carrier_16000,count>=3,40,26.0,0.0
protectai_v2,carrier_2000,max,40,3.0,0.0
protectai_v2,carrier_2000,top2_mean,40,3.0,0.0
protectai_v2,carrier_2000,count>=2,40,3.0,0.0
protectai_v2,carrier_2000,count>=3,40,3.0,0.0
protectai_v2,carrier_4000,max,40,6.0,0.0
protectai_v2,carrier_4000,top2_mean,40,6.0,0.0
protectai_v2,carrier_4000,count>=2,40,6.0,0.0
protectai_v2,carrier_4000,count>=3,40,6.0,0.0
protectai_v2,carrier_500,max,40,1.0,0.0
protectai_v2,carrier_500,top2_mean,40,1.0,0.0
protectai_v2,carrier_500,count>=2,40,1.0,0.0
protectai_v2,carrier_500,count>=3,40,1.0,0.0
protectai_v2,carrier_8000,max,40,13.0,0.0
protectai_v2,carrier_8000,top2_mean,40,13.0,0.0
protectai_v2,carrier_8000,count>=2,40,13.0,0.0
protectai_v2,carrier_8000,count>=3,40,13.0,0.0
protectai_v2,position_0,max,10,27.1,0.0
protectai_v2,position_0,top2_mean,10,27.1,0.0
protectai_v2,position_0,count>=2,10,27.1,0.0
protectai_v2,position_0,count>=3,10,27.1,0.0
protectai_v2,position_1000,max,10,27.1,0.0
protectai_v2,position_1000,top2_mean,10,27.1,0.0
protectai_v2,position_1000,count>=2,10,27.1,0.0
protectai_v2,position_1000,count>=3,10,27.1,0.0
protectai_v2,position_1500,max,10,27.1,0.0
protectai_v2,position_1500,top2_mean,10,27.1,0.0
protectai_v2,position_1500,count>=2,10,27.1,0.0
protectai_v2,position_1500,count>=3,10,27.1,0.0
protectai_v2,position_2000,max,10,27.1,0.1
protectai_v2,position_2000,top2_mean,10,27.1,0.0
protectai_v2,position_2000,count>=2,10,27.1,0.0
protectai_v2,position_2000,count>=3,10,27.1,0.0
protectai_v2,position_250,max,10,27.1,0.0
protectai_v2,position_250,top2_mean,10,27.1,0.0
protectai_v2,position_250,count>=2,10,27.1,0.0
protectai_v2,position_250,count>=3,10,27.1,0.0
protectai_v2,position_3000,max,10,27.1,0.0
protectai_v2,position_3000,top2_mean,10,27.1,0.0
protectai_v2,position_3000,count>=2,10,27.1,0.0
protectai_v2,position_3000,count>=3,10,27.1,0.0
protectai_v2,position_500,max,10,27.1,0.0
protectai_v2,position_500,top2_mean,10,27.1,0.0
protectai_v2,position_500,count>=2,10,27.1,0.0
protectai_v2,position_500,count>=3,10,27.1,0.0
protectai_v2,position_5000,max,10,27.1,0.0
protectai_v2,position_5000,top2_mean,10,27.1,0.0
protectai_v2,position_5000,count>=2,10,27.1,0.0
protectai_v2,position_5000,count>=3,10,27.1,0.0
protectai_v2,position_8000,max,10,27.1,0.0
protectai_v2,position_8000,top2_mean,10,27.1,0.0
protectai_v2,position_8000,count>=2,10,27.1,0.0
protectai_v2,position_8000,count>=3,10,27.1,0.0
